,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
63,sacramentokings,neworleanshornets,96,80,16,Sacramento,-4.0,183.5,1,0,101,-1.2,0.08,-1.84,2.9,4.7,-1.8,6.4,-0.01,0.08,-0.01,-0.0,-2.2,1.6,-0.01,0.03,0.4,-2.6,-0.02
64,laclippers,portlandtrailblazers,93,88,5,LAClippers,-3.0,199.5,1,0,101,-0.2,-0.15,3.04,2.8,-0.7,3.5,-2.0,0.02,0.01,0.0,0.01,-0.7,3.2,-0.01,-0.01,0.1,0.4,0.05
65,phoenixsuns,goldenstatewarriors,102,91,11,Phoenix,-4.5,193.5,1,0,102,3.6,-0.09,3.08,0.8,-2.6,3.4,0.3,0.03,-0.01,-0.0,-0.01,0.0,2.9,0.02,-0.01,-0.5,2.6,-0.04
66,bostonceltics,washingtonwizards,100,92,8,Boston,-11.0,188,0,1,102,5.1,0.08,7.4,0.0,-8.0,8.0,-2.1,0.0,-0.0,0.03,0.02,0.5,-7.6,0.02,-0.04,0.7,1.5,-0.01
67,detroitpistons,orlandomagic,89,78,11,Orlando,5,184.5,1,0,102,-1.2,-0.07,-5.65,-4.0,2.2,-6.2,0.2,-0.01,-0.17,-0.02,-0.04,0.5,1.6,0.02,0.01,1.3,-2.7,0.04
68,miamiheat,atlantahawks,92,100,-8,Miami,-9.5,193.5,0,0,102,0.4,0.5,3.05,1.7,-1.0,2.7,1.0,0.05,-0.05,0.01,0.01,1.1,2.7,0.05,-0.0,1.4,-0.5,0.01
69,newjerseynets,indianapacers,94,108,-14,Indiana,6,180,0,1,102,-0.2,0.32,-8.97,-3.8,6.5,-10.3,-0.6,-0.05,0.08,-0.01,-0.0,1.2,-1.4,-0.04,0.04,-0.4,-1.6,-0.01
70,newyorkknicks,torontoraptors,85,90,-5,NewYork,-8.5,200,0,0,102,0.6,-0.45,6.06,3.6,-3.5,7.1,3.9,0.03,0.08,0.01,0.02,0.1,0.7,0.02,0.01,3.1,-1.7,-0.04
71,minnesotatimberwolves,sanantoniospurs,106,96,10,SanAntonio,5,196.5,1,1,102,-3.1,0.26,-9.11,-6.6,3.4,-10.0,0.4,0.04,0.01,-0.04,-0.05,1.2,2.4,0.04,0.0,-0.7,-3.0,0.02
72,dallasmavericks,oklahomacitythunder,100,87,13,OklahomaCity,2.5,196.5,1,0,102,6.2,0.51,-4.66,-6.5,-0.9,-5.6,-1.6,-0.09,0.02,-0.04,-0.03,-1.9,-4.4,-0.08,0.01,0.9,2.7,-0.0
